species_name,taxon_key,occurrence_key,has_image
Alnus glutinosa,2876213,2236619683,0
Alnus glutinosa,2876213,2234228462,1
Alnus glutinosa,2876213,1806488221,1
Alnus glutinosa,2876213,2248478184,1
Alnus glutinosa,2876213,1848348283,1
Alnus glutinosa,2876213,1803145250,1
Alnus glutinosa,2876213,1803145314,1
Alnus glutinosa,2876213,1989373553,1
Alnus glutinosa,2876213,1851989156,1
Alnus glutinosa,2876213,1928606747,1
Alnus glutinosa,2876213,1930068535,1
Alnus glutinosa,2876213,1882650262,1
Alnus glutinosa,2876213,1989052632,1
Alnus glutinosa,2876213,1930343431,1
Alnus glutinosa,2876213,1213765419,1
Alnus glutinosa,2876213,1697350134,1
Alnus glutinosa,2876213,1978365094,1
Alnus glutinosa,2876213,1949959694,1
Alnus glutinosa,2876213,1423892924,1
Alnus glutinosa,2876213,1848348321,1
Alnus glutinosa,2876213,1848348402,1
Alnus glutinosa,2876213,1038010944,1
Alnus glutinosa,2876213,1701352046,1
Alnus glutinosa,2876213,1702319901,1
Alnus glutinosa,2876213,1978365095,1
Alnus glutinosa,2876213,1701330574,1
Alnus glutinosa,2876213,1697463406,1
Alnus glutinosa,2876213,2462807372,1
Alnus glutinosa,2876213,1801063488,1
Alnus glutinosa,2876213,1801063524,1
Alnus glutinosa,2876213,1930174918,1
Alnus glutinosa,2876213,1995316555,1
Alnus glutinosa,2876213,2514215268,1
Alnus glutinosa,2876213,1424485117,1
Alnus glutinosa,2876213,1702378447,1
Alnus glutinosa,2876213,1702378512,1
Alnus glutinosa,2876213,1702379013,1
Alnus glutinosa,2876213,1995316313,1
Alnus glutinosa,2876213,2572983460,1
Alnus glutinosa,2876213,1457764849,1
Alnus glutinosa,2876213,2514261331,1
Alnus glutinosa,2876213,1999267226,1
Alnus glutinosa,2876213,2462732180,1
Alnus glutinosa,2876213,1702169552,1
Alnus glutinosa,2876213,1843460584,1
Alnus glutinosa,2876213,1701282990,1
Alnus glutinosa,2876213,1949933274,1
Alnus glutinosa,2876213,1099839541,1
Alnus glutinosa,2876213,2243300871,1
Alnus glutinosa,2876213,1989351898,1
Alnus glutinosa,2876213,2417024028,1
Alnus glutinosa,2876213,894173227,1
Alnus glutinosa,2876213,1701910631,1
Alnus glutinosa,2876213,1989320076,1
Alnus glutinosa,2876213,1839952904,1
Alnus glutinosa,2876213,1830969084,1
Alnus glutinosa,2876213,1701278426,1
Alnus glutinosa,2876213,2407331157,1
Alnus glutinosa,2876213,1701845315,1
Alnus glutinosa,2876213,2515708451,1
Alnus glutinosa,2876213,1989174155,1
Alnus glutinosa,2876213,1843430835,1
Alnus glutinosa,2876213,1843430939,1
Alnus glutinosa,2876213,1697463516,1
Alnus glutinosa,2876213,1697463540,1
Alnus glutinosa,2876213,1697777733,1
Alnus glutinosa,2876213,1701276380,1
Alnus glutinosa,2876213,1701322410,1
Alnus glutinosa,2876213,1702108763,1
Alnus glutinosa,2876213,1935647993,1
Alnus glutinosa,2876213,2532988984,1
Alnus glutinosa,2876213,788897780,1
Alnus glutinosa,2876213,1697463423,1
Alnus glutinosa,2876213,1927931754,1
Alnus glutinosa,2876213,788897781,1
Alnus glutinosa,2876213,1702243105,1
Alnus glutinosa,2876213,1928873296,1
Alnus glutinosa,2876213,1897788587,1
Alnus glutinosa,2876213,1697777839,1
Alnus glutinosa,2876213,1701819987,1
Alnus glutinosa,2876213,1697777781,1
Alnus glutinosa,2876213,1702104835,1
Alnus glutinosa,2876213,575180413,1
Alnus glutinosa,2876213,1928993053,1
Alnus glutinosa,2876213,1697777809,1
Alnus glutinosa,2876213,1697777845,1
Alnus glutinosa,2876213,1697777786,1
Alnus glutinosa,2876213,1701377296,1
Alnus glutinosa,2876213,1702269241,1
Alnus glutinosa,2876213,2580376722,1
Alnus glutinosa,2876213,2598357846,1
Alnus glutinosa,2876213,1697777840,1
Alnus glutinosa,2876213,1148678588,1
Alnus glutinosa,2876213,1697777756,1
Alnus glutinosa,2876213,1697777828,1
Alnus glutinosa,2876213,1701230390,1
Alnus glutinosa,2876213,1701257099,1
Alnus glutinosa,2876213,1701344180,1
Alnus glutinosa,2876213,1697777815,1
Alnus glutinosa,2876213,1697777818,1
Alnus glutinosa,2876213,1930531335,1
Alnus glutinosa,2876213,1989404001,1
Alnus glutinosa,2876213,1697777773,1
Alnus glutinosa,2876213,1697777775,1
Alnus glutinosa,2876213,1701222523,1
Alnus glutinosa,2876213,1701252997,1
Alnus glutinosa,2876213,1701858919,1
Alnus glutinosa,2876213,1701886610,1
Alnus glutinosa,2876213,1702267957,1
Alnus glutinosa,2876213,1839391857,1
Alnus glutinosa,2876213,1697777876,1
Alnus glutinosa,2876213,1981551024,1
Alnus glutinosa,2876213,2517583903,1
Alnus glutinosa,2876213,2517586847,1
Alnus glutinosa,2876213,2517620823,1
Alnus glutinosa,2876213,1935648057,1
Alnus glutinosa,2876213,1930134341,1
Alnus glutinosa,2876213,2515038741,1
Alnus glutinosa,2876213,1697463431,1
Alnus glutinosa,2876213,1701312396,1
Alnus glutinosa,2876213,1701840363,1
Alnus glutinosa,2876213,187085853,1
Alnus glutinosa,2876213,187085856,1
Alnus glutinosa,2876213,1701840362,1
Alnus glutinosa,2876213,1702195595,1
Alnus glutinosa,2876213,1978021172,1
Alnus glutinosa,2876213,1701867465,1
Alnus glutinosa,2876213,1929831720,1
Alnus glutinosa,2876213,1986989767,1
Alnus glutinosa,2876213,1929220582,1
Alnus glutinosa,2876213,1930397421,1
Alnus glutinosa,2876213,1701562858,1
Alnus glutinosa,2876213,1702217857,1
Alnus glutinosa,2876213,187085837,1
Alnus glutinosa,2876213,1701285470,1
Alnus glutinosa,2876213,1701409712,1
Alnus glutinosa,2876213,1949933276,1
Alnus glutinosa,2876213,1697463556,1
Alnus glutinosa,2876213,2416993164,1
Alnus glutinosa,2876213,1701635511,1
Alnus glutinosa,2876213,1839548191,1
Alnus glutinosa,2876213,1839548203,1
Alnus glutinosa,2876213,1702080856,1
Alnus glutinosa,2876213,1697726057,1
Alnus glutinosa,2876213,1697726086,1
Alnus glutinosa,2876213,1702167191,1
Alnus glutinosa,2876213,1949933155,1
Alnus glutinosa,2876213,2427264314,1
Alnus glutinosa,2876213,1702217020,1
Alnus glutinosa,2876213,1702315416,1
Alnus glutinosa,2876213,1697463444,1
Alnus glutinosa,2876213,1978021254,1
Alnus glutinosa,2876213,1701839733,1
Alnus glutinosa,2876213,1701801876,1
Alnus glutinosa,2876213,2517813812,1
Alnus glutinosa,2876213,1989331352,1
Alnus glutinosa,2876213,1701232214,1
Alnus glutinosa,2876213,1702216928,1
Alnus glutinosa,2876213,1988843936,1
Alnus glutinosa,2876213,1697463442,1
Alnus glutinosa,2876213,1929682116,1
Alnus glutinosa,2876213,1701246355,1
Alnus glutinosa,2876213,1701313195,1
Alnus glutinosa,2876213,1701849082,1
Alnus glutinosa,2876213,1998986305,1
Alnus glutinosa,2876213,1322560561,1
Alnus glutinosa,2876213,1701842262,1
Alnus glutinosa,2876213,1701256822,1
Alnus glutinosa,2876213,1701630190,1
Alnus glutinosa,2876213,1701630195,1
Alnus glutinosa,2876213,1701776028,1
Alnus glutinosa,2876213,1701842232,1
Alnus glutinosa,2876213,1702193627,1
Alnus glutinosa,2876213,1702200672,1
Alnus glutinosa,2876213,1148352931,1
Alnus glutinosa,2876213,1148352947,1
Alnus glutinosa,2876213,1148622432,1
Alnus glutinosa,2876213,1697463410,1
Alnus glutinosa,2876213,1697463512,1
Alnus glutinosa,2876213,1701315069,1
Alnus glutinosa,2876213,1699347793,1
Alnus glutinosa,2876213,1701256719,1
Alnus glutinosa,2876213,1701836270,1
Alnus glutinosa,2876213,1701838739,1
Alnus glutinosa,2876213,187085320,1
Alnus glutinosa,2876213,187085874,1
Alnus glutinosa,2876213,1928780835,1
Alnus glutinosa,2876213,1995316168,1
Alnus glutinosa,2876213,2572979682,1
Alnus glutinosa,2876213,925147998,0
Alnus glutinosa,2876213,1701255838,1
Alnus glutinosa,2876213,1148635661,1
Alnus glutinosa,2876213,1702025074,1
Alnus glutinosa,2876213,1702198862,1
Alnus glutinosa,2876213,1702021441,1
Alnus glutinosa,2876213,1702165136,1
Alnus glutinosa,2876213,574975620,1
Alnus glutinosa,2876213,1228259420,1
Alnus glutinosa,2876213,1701373294,1
Alnus glutinosa,2876213,1701800499,1
Alnus glutinosa,2876213,1702021743,1
Alnus glutinosa,2876213,1701832009,1
Alnus glutinosa,2876213,1702165499,1
Alnus glutinosa,2876213,1702173864,1
Alnus glutinosa,2876213,1702191908,1
Alnus glutinosa,2876213,2575178885,0
Alnus glutinosa,2876213,1503278846,1
Alnus glutinosa,2876213,1928788172,1
Alnus glutinosa,2876213,1701801127,1
Alnus glutinosa,2876213,1503277954,1
Alnus glutinosa,2876213,1701565686,1
Alnus glutinosa,2876213,1702163355,1
Alnus glutinosa,2876213,1930240729,1
Alnus glutinosa,2876213,1988906376,1
Alnus glutinosa,2876213,1701828726,1
Alnus glutinosa,2876213,575218103,1
Alnus glutinosa,2876213,1702000505,1
Alnus glutinosa,2876213,1148622471,1
Alnus glutinosa,2876213,1702160491,1
Alnus glutinosa,2876213,1839746350,1
Alnus glutinosa,2876213,1839746380,1
Alnus glutinosa,2876213,1849182462,1
Alnus glutinosa,2876213,2595672818,1
Alnus glutinosa,2876213,2595672881,1
Alnus glutinosa,2876213,1702154636,1
Alnus glutinosa,2876213,1702252486,1
Alnus glutinosa,2876213,1988606491,1
Alnus glutinosa,2876213,2515218045,1
Alnus glutinosa,2876213,1978021136,1
Alnus glutinosa,2876213,1697777801,1
Alnus glutinosa,2876213,2417024249,1
Alnus glutinosa,2876213,1701569737,1
Alnus glutinosa,2876213,1701989383,1
Alnus glutinosa,2876213,1701989174,1
Alnus glutinosa,2876213,1701993198,1
Alnus glutinosa,2876213,1701997110,1
Alnus glutinosa,2876213,2416990913,1
Alnus glutinosa,2876213,2416991399,1
Alnus glutinosa,2876213,1702000038,1
Alnus glutinosa,2876213,1839953093,1
Alnus glutinosa,2876213,1840531578,1
Alnus glutinosa,2876213,1228526553,1
Alnus glutinosa,2876213,1697463495,1
Alnus glutinosa,2876213,1697463530,1
Alnus glutinosa,2876213,1701794278,1
Alnus glutinosa,2876213,1702373090,1
Alnus glutinosa,2876213,1148622491,1
Alnus glutinosa,2876213,1701794016,1
Alnus glutinosa,2876213,1697463398,1
Alnus glutinosa,2876213,1697463400,1
Alnus glutinosa,2876213,1697463413,1
Alnus glutinosa,2876213,1697463439,1
Alnus glutinosa,2876213,1701576978,1
Alnus glutinosa,2876213,1701785323,1
Alnus glutinosa,2876213,1701785835,1
Alnus glutinosa,2876213,1701368942,1
Alnus glutinosa,2876213,1701851112,1
Alnus glutinosa,2876213,1701985115,1
Alnus glutinosa,2876213,1988728324,1
Alnus glutinosa,2876213,20435287,1
Alnus glutinosa,2876213,1930095848,1
Alnus glutinosa,2876213,1990252940,1
